"suite","benchmark","params","baseline_ms","current_ms","delta_ms","delta_pct","direction","key"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterBooleanDepth","size=10000","3.648057","3.430707","-0.21735","-5.96","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterBooleanDepth|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHaving","size=1000","0.363309","0.338635","-0.024674","-6.79","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHaving|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHaving","size=10000","1.368185","1.269895","-0.09829","-7.18","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHaving|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHavingComputed","size=1000","0.368698","0.322243","-0.046455","-12.6","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHavingComputed|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHavingComputed","size=10000","1.222123","1.21442","-0.007702","-0.63","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterHavingComputed|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowBaseline","size=1000","0.405404","0.407004","0.0016","0.39","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowBaseline|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowBaseline","size=10000","1.420582","1.398688","-0.021894","-1.54","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowBaseline|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRank","size=1000","1.779519","1.716432","-0.063087","-3.55","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRank|size=1000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRank","size=10000","11.433489","10.22108","-1.212409","-10.6","faster","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRank|size=10000|avgt|ms/op"
"core","laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRunningTotal","size=1000","1.872698","1.932706","0.060007","3.2","slower","core|laughing.man.commits.benchmark.SqlLikePipelineJmhBenchmark.parseAndFilterWindowRunningTotal|size=1000|avgt|ms/op"
